rNN	rNO	aNNO	EDIF	ETRIP	ESING
   1.215	   1.000	  90.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	  91.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	  92.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	  93.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	  94.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	  95.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	  96.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	  97.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	  98.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	  99.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 100.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 101.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 102.000	   0.000	    0.00000000	    0.00000000
   1.607	   1.000	 103.000	 -15.303	 -183.98379327	 -183.95940617
   1.545	   1.000	 104.000	 -14.318	 -183.98613934	 -183.96332147
   1.511	   1.000	 105.000	 -14.082	 -183.98859101	 -183.96614916
   1.486	   1.000	 106.000	 -13.971	 -183.99105327	 -183.96878927
   1.466	   1.000	 107.000	 -13.850	 -183.99347829	 -183.97140715
   1.450	   1.000	 108.000	 -13.697	 -183.99583704	 -183.97400950
   1.437	   1.000	 109.000	 -13.489	 -183.99811102	 -183.97661514
   1.426	   1.000	 110.000	 -13.170	 -184.00028806	 -183.97930029
   1.416	   1.000	 111.000	 -12.679	 -184.00236002	 -183.98215416
   1.407	   1.000	 112.000	 -11.985	 -184.00432129	 -183.98522151
   1.399	   1.000	 113.000	 -11.086	 -184.00616805	 -183.98850093
   1.392	   1.000	 114.000	  -9.998	 -184.00789771	 -183.99196540
   1.385	   1.000	 115.000	  -8.742	 -184.00950866	 -183.99557815
   1.380	   1.000	 116.000	  -7.341	 -184.01100002	 -183.99930133
   1.375	   1.000	 117.000	  -5.818	 -184.01237153	 -184.00310030
   1.370	   1.000	 118.000	  -4.191	 -184.01362336	 -184.00694393
   1.366	   1.000	 119.000	  -2.479	 -184.01475611	 -184.01080619
   1.362	   1.000	 120.000	  -0.694	 -184.01577067	 -184.01466482
   1.358	   1.000	 121.000	   1.150	 -184.01666818	 -184.01850114
   1.355	   1.000	 122.000	   3.043	 -184.01744996	 -184.02229951
   1.352	   1.000	 123.000	   4.976	 -184.01811753	 -184.02604691
   1.350	   1.000	 124.000	   6.940	 -184.01867250	 -184.02973255
   1.347	   1.000	 125.000	   8.959	 -184.01911654	 -184.03339377
   1.345	   1.000	 126.000	  10.939	 -184.01945161	 -184.03688453
   1.343	   1.000	 127.000	  12.963	 -184.01967940	 -184.04033766
   1.342	   1.000	 128.000	  14.998	 -184.01980186	 -184.04370199
   1.340	   1.000	 129.000	  17.039	 -184.01982092	 -184.04697386
   1.339	   1.000	 130.000	  19.084	 -184.01973856	 -184.05015026
   1.338	   1.000	 131.000	  21.130	 -184.01955678	 -184.05322899
   1.337	   1.000	 132.000	  23.175	 -184.01927762	 -184.05620854
   1.336	   1.000	 133.000	  25.217	 -184.01890321	 -184.05908830
   1.215	   1.000	 134.000	   0.000	    0.00000000	    0.00000000
   1.334	   1.000	 135.000	  29.546	 -184.01789717	 -184.06498170
   1.333	   1.000	 136.000	  31.582	 -184.01724503	 -184.06757414
   1.334	   1.000	 137.000	  33.489	 -184.01650258	 -184.06987100
   1.334	   1.000	 138.000	  35.799	 -184.01548127	 -184.07253019
   1.333	   1.000	 139.000	  37.825	 -184.01457002	 -184.07484796
   1.333	   1.000	 140.000	  39.822	 -184.01358249	 -184.07704231
   1.333	   1.000	 141.000	  41.802	 -184.01251898	 -184.07913410
   1.333	   1.000	 142.000	  43.767	 -184.01138131	 -184.08112824
   1.333	   1.000	 143.000	  45.718	 -184.01017167	 -184.08302745
   1.333	   1.000	 144.000	  47.654	 -184.00889243	 -184.08483398
   1.333	   1.000	 145.000	  49.576	 -184.00754613	 -184.08654995
   1.334	   1.000	 146.000	  51.482	 -184.00613544	 -184.08817789
   1.334	   1.000	 147.000	  53.374	 -184.00466320	 -184.08972058
   1.334	   1.000	 148.000	  55.251	 -184.00313249	 -184.09118111
   1.215	   1.000	 149.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 150.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 151.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 152.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 153.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 154.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 155.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 156.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.000	 157.000	   0.000	    0.00000000	    0.00000000
   1.340	   1.000	 158.000	  73.032	 -183.98558305	 -184.10196720
   1.341	   1.000	 159.000	  74.699	 -183.98373391	 -184.10277429
   1.341	   1.000	 160.000	  76.343	 -183.98190057	 -184.10356056
   1.341	   1.000	 161.000	  77.962	 -183.98009537	 -184.10433528
   1.341	   1.000	 162.000	  79.550	 -183.97833257	 -184.10510400
   1.341	   1.000	 163.000	  81.102	 -183.97662841	 -184.10587293
   1.341	   1.000	 164.000	  82.608	 -183.97500118	 -184.10664565
   1.215	   1.000	 165.000	   0.000	    0.00000000	    0.00000000
   1.340	   1.000	 166.000	  85.431	 -183.97205819	 -184.10820082
   1.339	   1.000	 167.000	  86.710	 -183.97078329	 -184.10896413
   1.339	   1.000	 168.000	  87.879	 -183.96966207	 -184.10970604
   1.338	   1.000	 169.000	  88.910	 -183.96870302	 -184.11039084
   1.215	   1.050	  90.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.050	  91.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.050	  92.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.050	  93.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.050	  94.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.050	  95.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.050	  96.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.050	  97.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.050	  98.000	   0.000	    0.00000000	    0.00000000
   1.522	   1.050	  99.000	  -5.742	 -184.02218467	 -184.01303376
   1.487	   1.050	 100.000	  -6.192	 -184.02540101	 -184.01553367
   1.463	   1.050	 101.000	  -7.203	 -184.02862710	 -184.01714876
   1.445	   1.050	 102.000	  -8.381	 -184.03180686	 -184.01845054
   1.430	   1.050	 103.000	  -9.541	 -184.03491025	 -184.01970585
   1.418	   1.050	 104.000	 -10.545	 -184.03791810	 -184.02111361
   1.406	   1.050	 105.000	 -11.286	 -184.04081693	 -184.02283107
   1.397	   1.050	 106.000	 -11.710	 -184.04359662	 -184.02493552
   1.388	   1.050	 107.000	 -11.845	 -184.04624935	 -184.02737246
   1.380	   1.050	 108.000	 -11.779	 -184.04876941	 -184.02999907
   1.373	   1.050	 109.000	 -11.560	 -184.05115316	 -184.03273188
